State,Constituency,CDU Cons,CDU List,SPD Cons,SPD List,Die Linke Cons,Die Linke List,Grüne Cons,Grüne List,CSU Cons,CSU List
Rheinland-Pfalz,200,67046,63427,43094,38221,6901,7358,11184,10853,0,0
Rheinland-Pfalz,201,67658,62703,35146,31202,5647,6139,5083,7257,0,0
Rheinland-Pfalz,202,53324,53335,48521,40708,6688,7485,5733,8221,0,0
Rheinland-Pfalz,203,65252,61192,30613,26189,3867,5134,5775,7165,0,0
Rheinland-Pfalz,204,67281,60909,42879,36410,7687,8688,9555,13157,0,0
Rheinland-Pfalz,205,74887,69119,47097,42500,7217,7724,9014,9646,0,0
Rheinland-Pfalz,206,77285,74392,67169,51614,8359,10652,19339,25339,0,0
Rheinland-Pfalz,207,61337,57620,53948,43670,5359,7398,8111,12267,0,0
Rheinland-Pfalz,208,65746,59425,54003,45001,7476,8538,7247,11042,0,0
Rheinland-Pfalz,209,77345,71072,46217,41982,7244,7871,13054,13915,0,0
Rheinland-Pfalz,210,59086,57376,61253,52242,11813,12107,8446,11430,0,0
Rheinland-Pfalz,211,57201,54877,40180,35108,7486,8172,5059,5960,0,0
Rheinland-Pfalz,212,75748,66523,43385,40537,6308,7538,11064,13172,0,0
Baden-Württemberg,258,63465,56794,25050,31766,5824,9432,41522,26534,0,0
Baden-Württemberg,259,58222,52323,34690,30469,6633,8902,18505,18341,0,0
Baden-Württemberg,260,102408,88734,44676,37808,7621,8234,17750,19613,0,0
Baden-Württemberg,261,65825,57598,32379,28205,4788,5862,14236,15483,0,0
Baden-Württemberg,262,80710,72844,40013,31499,5205,6533,15685,18435,0,0
Baden-Württemberg,263,64095,60058,31646,28435,4710,5569,14010,13275,0,0
Baden-Württemberg,264,87082,77461,38908,34086,6211,7663,17838,17511,0,0
Baden-Württemberg,265,80935,70982,33977,34338,7739,7594,21666,18842,0,0
Baden-Württemberg,266,92693,79372,45962,36849,7697,7271,16474,18551,0,0
Baden-Württemberg,267,87777,78544,46231,37933,7554,8138,12771,14662,0,0
Baden-Württemberg,268,81427,72835,35728,31230,6626,7535,15569,15641,0,0
Baden-Württemberg,269,70748,62236,31673,26198,5079,5454,10439,11657,0,0
Baden-Württemberg,270,92293,79409,39464,35861,7929,7483,12402,13532,0,0
Baden-Württemberg,271,58452,55791,43866,33785,7254,8933,20337,22263,0,0
Baden-Württemberg,272,83848,73805,40735,33416,5896,6461,12298,15175,0,0
Baden-Württemberg,273,77850,71752,33482,30043,5073,6055,12233,13223,0,0
Baden-Württemberg,274,68061,62331,50850,38915,6892,9413,20392,24601,0,0
Baden-Württemberg,275,53819,47598,43736,37367,8951,10227,16544,15047,0,0
Baden-Württemberg,276,90624,79516,32696,30269,5158,6379,9019,10984,0,0
Baden-Württemberg,277,72271,63876,37724,32456,5824,6959,12031,13912,0,0
Baden-Württemberg,278,73944,66656,35252,30861,5345,6357,9678,11696,0,0
Baden-Württemberg,279,77737,70997,36059,31788,6435,7248,12539,14081,0,0
Baden-Württemberg,280,83514,73263,28892,25285,6094,5948,10036,10946,0,0
Baden-Württemberg,281,58106,59007,50004,36791,8083,13105,34762,33044,0,0
Baden-Württemberg,282,81205,70888,39902,35328,6305,7856,19468,20593,0,0
Baden-Württemberg,283,78797,69272,39772,32131,7002,7016,17368,18293,0,0
Baden-Württemberg,284,80083,68973,28862,27448,6083,6762,14111,15311,0,0
Baden-Württemberg,285,81517,72998,25044,24757,5290,5601,10546,10385,0,0
Baden-Württemberg,286,66505,57912,22211,22414,4144,4860,8984,10613,0,0
Baden-Württemberg,287,75524,63563,27956,29504,5980,7295,19322,18446,0,0
Baden-Württemberg,288,65009,62610,35359,24130,5613,5482,12768,13987,0,0
Baden-Württemberg,289,76870,68394,29859,28558,5966,7089,18399,16195,0,0
Baden-Württemberg,290,69354,61889,30160,30417,9589,9820,24477,21978,0,0
Baden-Württemberg,291,85984,80370,39321,33432,6012,7087,16041,17023,0,0
Baden-Württemberg,292,70540,67567,23786,17814,4013,4075,10754,10887,0,0
Baden-Württemberg,293,68333,61961,26105,23125,5749,5629,14224,14955,0,0
Baden-Württemberg,294,69312,67251,26909,23266,4424,5770,18298,16571,0,0
Baden-Württemberg,295,78966,69176,23684,22447,5460,5359,10802,11008,0,0
Bayern,213,0,0,15921,16797,2832,3241,6030,6394,72915,64998
Bayern,214,0,0,27233,23670,3712,4178,11377,12587,78991,72850
Bayern,215,0,0,27165,25243,4440,5030,18169,14390,81729,78924
Bayern,216,0,0,37575,34660,5096,5711,14515,16586,103904,94458
Bayern,217,0,0,28561,29880,6755,6163,11340,10752,106668,96804
Bayern,218,0,0,48625,38350,5722,7088,15962,21174,66930,57100
Bayern,219,0,0,48051,39187,5713,7131,17100,21719,74745,66349
Bayern,220,0,0,43571,36877,6027,7341,17407,21440,66513,58097
Bayern,221,0,0,49419,41108,7135,8312,22743,27068,73661,64221
Bayern,222,0,0,38786,37497,3996,5380,21279,18960,100176,89504
Bayern,223,0,0,20229,23966,3932,4688,15125,13631,93964,87569
Bayern,224,0,0,31678,27345,5041,4796,16031,16417,97383,93201
Bayern,225,0,0,24570,20875,4117,4193,11973,12334,87598,80351
Bayern,226,0,0,30019,28342,5321,5629,15559,16017,104236,95885
Bayern,227,0,0,14779,15438,2802,3107,4187,4065,57145,52481
Bayern,228,0,0,27537,27160,4920,5161,14085,11427,98703,92069
Bayern,229,0,0,22845,21611,3763,4399,5956,6895,69428,62765
Bayern,230,0,0,16619,15626,2668,2753,4773,4996,62748,60501
Bayern,231,0,0,19400,17790,2757,3297,3582,4324,67579,63887
Bayern,232,0,0,31253,29036,4909,5052,7365,8997,87248,80073
Bayern,233,0,0,37541,32902,5839,6617,14202,15759,82648,82556
Bayern,234,0,0,34716,27066,3820,4505,4516,5927,80840,76453
