State,Constituency,CDU Cons,CDU List,SPD Cons,SPD List,Die Linke Cons,Die Linke List,Grüne Cons,Grüne List,CSU Cons,CSU List,FDP Cons,FDP List,AfD Cons,AfD List
Bayern,231,0,0,21525,17512,4766,5590,4602,5846,60976,53712,5670,10308,19261,23576
Bayern,232,0,0,25580,26080,7461,8948,11612,11997,80075,71720,8388,12854,18790,21550
Bayern,233,0,0,32862,28582,11761,13259,18343,20332,78858,74720,12254,17719,23275,25625
Bayern,234,0,0,38461,26122,7929,7339,6172,7302,77092,66827,7392,10608,0,28006
Bayern,235,0,0,28614,24631,5677,6204,4553,6426,59285,55691,5269,8479,0,17411
Bayern,236,0,0,29475,22529,7504,9351,13194,14279,60675,56138,9364,13776,16603,18392
Bayern,237,0,0,26785,23198,5476,7022,8936,9994,58665,53063,8368,11369,11845,13566
Bayern,238,0,0,32163,27553,6305,6895,7129,8155,55078,48410,5877,9967,12763,14208
Bayern,239,0,0,29641,27775,5560,7185,5936,6989,59182,48772,4716,9890,14893,16605
Bayern,240,0,0,21494,23675,5057,6431,5880,7966,74105,58112,5381,10335,15497,17997
Bayern,241,0,0,33755,31464,11179,12208,13946,16239,81431,74425,7661,13825,19396,21734
Bayern,242,0,0,30965,25578,8633,11115,16179,19862,62767,52414,8713,14973,11670,13953
Bayern,243,0,0,45055,37089,13311,15442,19088,20540,78559,69472,10618,17545,20968,23033
Bayern,244,0,0,37068,26456,14511,16962,18463,21909,45340,40106,10379,15412,13398,14503
Bayern,245,0,0,34621,27467,10772,11640,10163,12166,46511,40882,7632,11199,17270,18679
Bayern,246,0,0,37920,34040,8887,11635,14465,18033,81874,69743,8583,15990,18925,21317
Bayern,247,0,0,23660,25198,6833,8699,13144,13432,68708,55009,11381,15610,14985,16642
Bayern,248,0,0,32383,26904,9071,10085,11980,11359,86603,75788,9534,15084,17753,19650
Bayern,249,0,0,35148,28903,7515,8562,11050,11939,72406,65245,7708,13720,14075,16856
Bayern,250,0,0,26346,26163,12091,10422,11466,11717,73901,63674,9506,13789,17198,18905
Bayern,251,0,0,33929,32126,10130,12931,25359,23719,76515,67585,14592,18813,13872,15764
Bayern,252,0,0,29285,24112,12850,13649,21062,18782,52769,48420,9191,15149,20170,21015
Bayern,253,0,0,27813,25240,7231,9737,14809,17447,94252,81831,11976,20565,24279,27045
Bayern,254,0,0,26562,20289,6198,6687,9436,10102,68770,63638,7321,13440,18799,21585
Bayern,255,0,0,26419,24828,7855,9274,16519,14898,80503,72104,10780,18627,24612,27327
Bayern,256,0,0,21451,21725,8264,10130,16162,19792,88357,72855,12262,18935,16825,18529
Bayern,257,0,0,21610,23044,10153,10387,16537,16214,93430,79932,10627,19898,24018,25384
Baden-Württemberg,258,51118,46243,20512,23350,10409,14830,47430,31283,0,0,13399,26203,10646,11455
Baden-Württemberg,259,46166,40109,25469,23458,12321,12553,21850,21071,0,0,11903,19210,14345,14899
Baden-Württemberg,260,75323,68991,38053,30296,9715,10434,23206,24746,0,0,24867,29510,21842,22874
Baden-Württemberg,261,53665,44748,25697,22579,7853,8361,20501,19565,0,0,11657,18512,14390,14692
Baden-Württemberg,262,65566,56105,31655,25190,7978,9132,24540,23673,0,0,16390,24922,19833,20544
Baden-Württemberg,263,50892,45290,29730,23924,5994,6882,16420,16749,0,0,12492,17188,19588,19956
Baden-Württemberg,264,64958,58372,33898,28146,8626,9881,21542,21539,0,0,23568,28617,21863,22870
Baden-Württemberg,265,66430,58003,30971,28547,9487,10451,24702,24000,0,0,17691,25538,20157,19780
Baden-Württemberg,266,73689,60898,36327,30472,8453,9719,23092,24282,0,0,16191,27145,23215,24212
Baden-Württemberg,267,64591,58755,42455,32489,8448,10520,14920,19016,0,0,17566,23872,28575,30089
Baden-Württemberg,268,68717,58215,31406,27472,7314,9594,21468,20512,0,0,14252,21629,22894,24827
